Testcase_ID,Test_Description,Subarea
45656,Adding the moneybadger while the mobile devices bluetooth is disabled,Add_Printer 2.0
45657,Check the cancle button on 'bluetooth pairing request' dialog when pairing the bluetooth moneybadger,Add_Printer 2.0
45658,Check pairing bluetooth when the printer changes to offline,Add_Printer 2.0
45659,"Check the ""Watch Troubleshooting video"" option works when failing to connect printer",Add_Printer
45660,Search the essids when the printer is offline,Add_Printer 2.0
45661,"Set printer wpa psk Essid but input incorrect password, and check Help",Add_Printer
45662,"set printer open Essid when the printer change to offline, and retry",Add_Printer 2.0
45663,"set printer wpa psk Essid manually when the printer change to offline, and go to Help",Add_Printer 2.0
45664,"set printer open Essid manually but input incorrect essid, and retry",Add_Printer
45665,Check the left top corner button of each page work during adding a moneybadger.,Add_Printer 2.0
45666,using phone B to add the unconfigured printer which was paired the bluetooth connection by phone A and not in bluetooth limited mode,Add_Printer 2.0
45667,using the phone A to add the unconfigured printer which was paired the bluetooth connection by phone A and not in bluetooth limited mode,Add_Printer 2.0
45668,using phone B to add the unconfigured printer which was paired the bluetooth connection by phone A and in bluetooth limited mode,Add_Printer 2.0
45669,using phone A to add the unconfigured printer which was paired the bluetooth connection by phone A and in bluetooth limited mode.,Add_Printer 2.0
45670,"using the phone B to pair the bluetooth Moneybadger, and don't quit the adding printer process wizard, then using the phone A to discover",Add_Printer 2.0
45671,"using the phone B to pair the bluetooth Moneybadger, and don't quit the adding printer process wizard, and make it into bluetooth limited mode, then using the phone A to discover",Add_Printer 2.0
45672,connect printer by using the 'Add a Printer' button at the overview page and check information card.,Add_Printer 2.0
45673,connect printer with Open Essid by choosing it,Add_Printer
45674,"connect printer with Open ESSID manually, then cancel.",Add_Printer
45675,connect printer with Open Essid manually when it's status is media out,Add_Printer 2.0
45676,connect printer with PSK WPA Essid by choosing it when it's status is head open,Add_Printer 2.0
45677,connect printer with PSK WPA Essid manually,Add_Printer
45678,"retrieve moneybadger when no online moenybadgers at your area, then open one, retrieve again",Add_Printer 2.0
45679,"set wrong password of the PSK WPA Essid to printer by choosing it, then click 'Cancel'",Add_Printer 2.0
45680,"set wrong password of the PSK WPA Essid to printer by choosing it, then re-enter correct password for it",Add_Printer
45681,"connect printer with PSK WPA Essid by choosing it, then cancel",Add_Printer
45682,"connect printer with PSK WPA Essid manually, then cancel",Add_Printer 2.0
45683,add 6 printers to the portal with same network,Add_Printer 2.0
45684,connect more than 1 printer to the portal with different network,Add_Printer 2.0
45685,"add the moneybadger via account A, decommission it, then use account B to add it, decommission it, then use account A to re-add it",Add_Printer 2.0
45686,"add the moneybadger via account A, decommission it, then use account A to re-add it",Add_Printer 2.0
45687,Check there is error window prompted if it fails to register printer,Add_Printer
45688,Verify Wifi Settings,Device_Network
45689,Check Change Theme Function Works,App_Settings
45690,"Update Unit of Measure in Mobile App, check it will sync to Web Portal and Printer Tools",User Settings
45691,Edit Workspace - upload and remove image,App_Settings
45692,Edit Workspace - Update workspace name,App_Settings
45693,Adding New network: add open Essid to the Moneybadger (select from network list),Device_Network
45694,Adding New network: add WPA Essid to the Moneybadger,Device_Network
45695,Adding New network: add WPA Essid with incorrect password to the Moneybadger,Device_Network
45696,Adding New network: proritize the Essids in My Saved Network list,Device_Network
45697,Adding New network: Add 5 Essids in My Saved Network list,Device_Network
45698,"adding new Essid for the Moneybadg, it would get the lowest priority",Device_Network
45699,Check adding network works when the printer is offline and not in paring mode,Device_Network
45700,Delete network but not connecting,Device_Network
45701,Delete network which is connecting,Device_Network
45702,Delete the network which is lost connection,Device_Network
45703,"Turn off the connecting network, check it would switch to the highest priority available network",Device_Network
45704,"Loss network connection, then add a new network (hotspot on Phone)",Device_Network
45705,Verify account profile update for non-Zebra user,User Settings
45706,Delete all the saved wifi,Device_Network
45707,Add a wrong wifi-Check if it shows in the list by choosing different options,Device_Network
45708,Add a wifi which is saved- Check the same wifi will not add to list again,Device_Network
45709,"Banner test, user is able to see all banner messages, and new feature messages will disappear after 3 times login",Banners
45710,New feature banner is displayed in home page for the first 3 times login,Banners
45711,New feature banner is NOT displayed in home page when user has signed in for more then 3 times,Banners
45712,"Switch users in the same terminal, and every user can see 'New Feature' banner message for the first 3 times login",Banners
